"ID","KODE_SATUAN","URAIAN_SATUAN"
"6572","K39","GILL (US) PER SECOND"
"6571","K38","GILL (US) PER MINUTE"
"6570","K37","GILL (US) PER HOUR"
"6569","K36","GILL (US) PER DAY"
"6568","K35","GILL (UK) PER SECOND"
"6567","K34","GILL (UK) PER MINUTE"
"6566","K33","GILL (UK) PER HOUR"
"6565","K32","GILL (UK) PER DAY"
"6564","K31","GRAM-FORCE PER SQUARE CENTIMETRE"
"6563","K30","GALLON (US LIQUID) PER SECOND"
"6562","K3","KILOVOLT AMPERE REACTIVE HOUR"
"6561","K28","GALLON (UK) PER SECOND"
"6560","K27","GALLON (UK) PER HOUR"
"6559","K26","GALLON (UK) PER DAY"
"6558","K25","FOOT OF MERCURY"
"6557","K24","FOOT OF WATER"
"6556","K23","CUBIC FOOT PER PSI"
"6555","K22","CUBIC FOOT PER DAY"
"6554","K21","CUBIC FOOT PER DEGREE FAHRENHEIT"
"6553","K20","RECIPROCAL CUBIC FOOT"
"6552","K2","KILOVOLT AMPERE REACTIVE DEMAND"
"6551","K19","FOOT PER SECOND PSI"
"6550","K18","FOOT PER SECOND DEGREE FAHRENHEIT"
"6549","K17","FOOT PER PSI"
"6548","K16","FOOT POUND-FORCE PER MINUTE"
"6547","K15","FOOT POUND-FORCE PER HOUR"
"6546","K14","FOOT PER HOUR"
"6545","K13","FOOT PER DEGREE FAHRENHEIT"
"6544","K12","OUNCE (US FLUID) PER SECOND"
"6543","K11","OUNCE (US FLUID) PER MINUTE"
"6542","K10","OUNCE (US FLUID) PER HOUR"
"6541","K1","KILOWATT DEMAND"
"6540","JWL","NUMBER OF JEWELS"
"6539","JR","JAR"
"6538","JPS","HUNDRED METRE"
"5538","JOU","JOULE"
"6537","JO","JOINT"
"6536","JNT","PIPELINE JOINT"
"6535","JM","MEGAJOULE PER CUBIC METRE"
"6534","JK","MEGAJOULE PER KILOGRAM"
"6533","JG","JUG"
"6532","JE","JOULE PER KELVIN"
"6531","JB","JUMBO"
"6530","J99","OUNCE (US FLUID) PER DAY"
"6529","J98","OUNCE (UK FLUID) PER SECOND"
"6528","J97","OUNCE (UK FLUID) PER MINUTE"
"6527","J96","OUNCE (UK FLUID) PER HOUR"
"6526","J95","OUNCE (UK FLUID) PER DAY"
"6525","J94","DYNE CENTIMETRE"
"6524","J93","CUBIC DECIMETRE PER SECOND"
"6523","J92","CUBIC DECIMETRE PER MINUTE"
"6522","J91","CUBIC DECIMETRE PER CUBIC METRE"
"6521","J90","CUBIC DECIMETRE PER DAY"
"6520","J89","CENTIMETRE OF MERCURY"
"6519","J87","CUBIC CENTIMETRE PER CUBIC METRE"
"6518","J85","CENTIMETRE PER SECOND BAR"
"6517","J84","CENTIMETRE PER SECOND KELVIN"
"6516","J83","CLO"
"6515","J82","CALORIE (THERMOCHEMICAL) PER SECOND"
"6514","J81","CALORIE (THERMOCHEMICAL) PER MINUTE"
"6513","J79","CALORIE (THERMOCHEMICAL) PER GRAM DEGREE CELSIUS"
"6512","J78","CALORIE  PER CENTIMETRE SECOND DEGREE CELSIUS"
